# e/g shape veto vs |ieta|, hwPt
# Index is (|ieta|-1)*256*64+shape*256+hwPt
# Veto corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V1 19 1 </header>

586 1 # ieta=1, shape=2, ET=74
587 1 # ieta=1, shape=2, ET=75
588 1 # ieta=1, shape=2, ET=76
589 1 # ieta=1, shape=2, ET=77
590 1 # ieta=1, shape=2, ET=78
591 1 # ieta=1, shape=2, ET=79
592 1 # ieta=1, shape=2, ET=80
593 1 # ieta=1, shape=2, ET=81
594 1 # ieta=1, shape=2, ET=82
595 1 # ieta=1, shape=2, ET=83
596 1 # ieta=1, shape=2, ET=84
597 1 # ieta=1, shape=2, ET=85
598 1 # ieta=1, shape=2, ET=86
599 1 # ieta=1, shape=2, ET=87
600 1 # ieta=1, shape=2, ET=88
601 1 # ieta=1, shape=2, ET=89
602 1 # ieta=1, shape=2, ET=90
603 1 # ieta=1, shape=2, ET=91
604 1 # ieta=1, shape=2, ET=92
605 1 # ieta=1, shape=2, ET=93
606 1 # ieta=1, shape=2, ET=94
607 1 # ieta=1, shape=2, ET=95
608 1 # ieta=1, shape=2, ET=96
609 1 # ieta=1, shape=2, ET=97
610 1 # ieta=1, shape=2, ET=98
611 1 # ieta=1, shape=2, ET=99
612 1 # ieta=1, shape=2, ET=100
613 1 # ieta=1, shape=2, ET=101
614 1 # ieta=1, shape=2, ET=102
615 1 # ieta=1, shape=2, ET=103
616 1 # ieta=1, shape=2, ET=104
